,epoch,train acc
0,1,11.4715576171875
1,2,27.801513671875
2,3,41.11175537109375
3,4,51.60675048828125
4,5,59.9517822265625
5,6,67.2210693359375
6,7,72.540283203125
7,8,77.82440185546875
8,9,81.33544921875
9,10,84.295654296875
10,11,86.29913330078125
11,12,88.45672607421875
12,13,89.05792236328125
13,14,90.814208984375
14,15,91.6778564453125
15,16,92.034912109375
16,17,92.877197265625
17,18,93.8690185546875
18,19,94.05670166015625
19,20,94.01397705078125
20,21,94.57855224609375
21,22,94.79217529296875
22,23,95.22705078125
23,24,95.39031982421875
24,25,95.623779296875
25,26,95.7061767578125
26,27,95.941162109375
27,28,95.9503173828125
28,29,96.3287353515625
29,30,96.3958740234375
30,31,96.58966064453125
31,32,96.48284912109375
32,33,96.69342041015625
33,34,96.67816162109375
34,35,96.87652587890625
35,36,96.85211181640625
36,37,97.17559814453125
37,38,97.15118408203125
38,39,97.18780517578125
39,40,97.31903076171875
40,41,97.46856689453125
41,42,97.40753173828125
42,43,97.381591796875
43,44,97.53570556640625
44,45,97.67608642578125
45,46,97.705078125
46,47,97.9156494140625
47,48,97.71575927734375
48,49,97.8668212890625
49,50,97.88055419921875
50,51,97.87445068359375
51,52,97.79510498046875
52,53,97.869873046875
53,54,98.08197021484375
54,55,98.0743408203125
55,56,98.00567626953125
56,57,98.18572998046875
57,58,98.18267822265625
58,59,98.13690185546875
59,60,98.138427734375
60,61,98.31695556640625
61,62,98.27117919921875
62,63,98.18572998046875
63,64,98.095703125
64,65,98.40087890625
65,66,98.34747314453125
66,67,98.370361328125
67,68,98.49395751953125
68,69,98.6328125
69,70,98.46343994140625
70,71,98.5015869140625
71,72,98.37799072265625
72,73,98.4649658203125
73,74,98.47564697265625
74,75,98.5382080078125
75,76,98.73809814453125
76,77,98.64654541015625
77,78,98.6053466796875
78,79,98.65570068359375
79,80,98.675537109375
80,81,98.67095947265625
81,82,98.687744140625
82,83,98.69384765625
83,84,98.78387451171875
84,85,98.74114990234375
85,86,98.74725341796875
86,87,98.79913330078125
87,88,98.79913330078125
88,89,98.8616943359375
89,90,98.699951171875
90,91,98.76251220703125
91,92,98.85711669921875
92,93,98.90289306640625
93,94,98.91357421875
94,95,98.77777099609375
95,96,98.785400390625
96,97,98.88763427734375
97,98,98.809814453125
98,99,98.8922119140625
99,100,98.98834228515625
