,epoch,train loss
0,1,0.5303931373127853
1,2,0.1407157249877855
2,3,0.11043075585257611
3,4,0.10812529255326808
4,5,0.09226983110784204
5,6,0.09360673751007198
6,7,0.07398123697430492
7,8,0.07031606122222911
8,9,0.07312683114150786
9,10,0.07057440024732387
10,11,0.0737788145875129
11,12,0.06776596323538797
12,13,0.0656698534694442
13,14,0.06032138287628186
14,15,0.058424861146249896
15,16,0.07353257664954072
16,17,0.056729953445710635
17,18,0.056660371456700886
18,19,0.06182515710543157
19,20,0.06451404484528211
20,21,0.055068865617158735
21,22,0.05534722933930425
22,23,0.054398049557221384
23,24,0.06409166338426076
24,25,0.0517631638824696
25,26,0.05998097414794756
26,27,0.05581308909040672
27,28,0.05100925648775956
28,29,0.05836899729479228
29,30,0.05774374609654842
30,31,0.05519790563675997
31,32,0.05923352435695506
32,33,0.05557738591448924
33,34,0.05797586190487891
34,35,0.057014200101320966
35,36,0.04977304144267691
36,37,0.04638319471496288
37,38,0.051672856780214715
38,39,0.0474609834191142
39,40,0.04767501666219687
40,41,0.05296434832234809
41,42,0.05823468117068842
42,43,0.06617464664861927
43,44,0.03602145007994295
44,45,0.04983861768596398
45,46,0.043566839479581176
46,47,0.04889136154173457
47,48,0.04363734707982303
48,49,0.0461339053319989
49,50,0.0516600313779918
50,51,0.04958919505668291
51,52,0.05304637850031213
52,53,0.04821161238101013
53,54,0.0480410288473081
54,55,0.05349912238648358
55,56,0.042924402656126404
56,57,0.0450235063249238
57,58,0.05429825807709676
58,59,0.05213241133265001
59,60,0.042369765373223345
60,61,0.050190931652537074
61,62,0.04435477201855065
62,63,0.0460154376370383
63,64,0.05733778562500902
64,65,0.041104665415105046
65,66,0.03697528622797108
66,67,0.0449666678638323
67,68,0.05198516713062418
68,69,0.0512807238106916
69,70,0.047468644039668106
70,71,0.05515440821449147
71,72,0.04799209581528885
72,73,0.04896859520039243
73,74,0.04522217520707272
74,75,0.04777081440931852
75,76,0.04341176162540705
76,77,0.04364274379690869
77,78,0.051071515071384965
78,79,0.04412065453266223
79,80,0.04782763762364084
80,81,0.04838534929990601
81,82,0.050536129296119725
82,83,0.04217132017606673
83,84,0.049392790846468415
84,85,0.04886744588065994
85,86,0.04843103616576627
86,87,0.044595638007535854
87,88,0.04063015128940606
88,89,0.05080924266508191
89,90,0.04684584880692455
90,91,0.03959869182847342
91,92,0.03862237307794203
92,93,0.07854616705822082
93,94,0.04286452978340094
94,95,0.03707426579182993
95,96,0.04235704023403741
96,97,0.041389335956466766
97,98,0.04272897525254393
98,99,0.04298832273872222
99,100,0.04443605336064138
